ID,Label
0,1
1,1
2,1
3,2
4,1
5,2
6,2
7,1
8,1
9,1
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,1
19,1
20,0
21,1
22,1
23,1
24,1
25,2
26,1
27,2
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,2
43,0
44,1
45,0
46,2
47,1
48,1
49,1
50,1
51,2
52,1
53,0
54,1
55,0
56,1
57,1
58,1
59,2
60,2
61,1
62,2
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,1
72,2
73,2
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,2
83,2
84,2
85,2
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,2
95,2
96,0
97,1
98,2
99,2
100,1
101,2
102,1
103,2
104,2
105,0
106,0
107,1
108,1
109,2
110,2
111,1
112,2
113,0
114,1
115,2
116,1
117,1
118,1
119,2
120,1
121,2
122,2
123,1
124,0
125,1
126,1
127,0
128,1
129,2
130,1
131,2
132,1
133,2
134,1
135,1
136,0
137,2
138,0
139,0
140,0
141,1
142,1
143,1
144,0
145,1
146,1
147,1
148,2
149,2
150,1
151,1
152,1
153,1
154,0
155,1
156,1
157,2
158,2
159,0
160,1
161,0
162,1
163,2
164,1
165,1
166,1
167,2
168,2
169,1
170,1
171,2
172,0
173,0
174,2
175,1
176,0
177,0
178,2
179,1
180,1
181,1
182,2
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,1
192,1
193,0
194,2
195,1
196,1
197,2
198,2
199,0
200,0
201,1
202,0
203,1
204,1
205,2
206,1
207,1
208,0
209,0
210,2
211,2
212,2
213,0
214,0
215,1
216,1
217,2
218,1
219,2
220,1
221,1
222,1
223,1
224,2
225,1
226,1
227,1
228,2
229,0
230,0
231,1
232,1
233,1
234,2
235,0
236,0
237,1
238,1
239,1
240,2
241,1
242,2
243,0
244,1
245,1
246,2
247,2
248,2
249,2
250,0
251,0
252,2
253,0
254,1
255,2
256,2
257,2
258,2
259,2
260,0
261,2
262,1
263,1
264,1
265,0
266,1
267,0
268,2
269,1
270,2
271,1
272,2
273,0
274,0
275,1
276,2
277,1
278,1
279,1
280,0
281,1
282,1
283,0
284,2
285,1
286,1
287,0
288,2
289,1
290,1
291,1
